text	word	count	tf
Burke.1790.Reflections on the Revolution of France.txt	conceit	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	conceitedness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	excessive	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	extravagant	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	prodigality	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	prodigal	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	emotional	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	scrupulous	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	restrain	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	civility	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	agreeable	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	gracious	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	genteel	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	urbanity	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	nicety	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	refined	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	refinement	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	uncouth	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	intemperate	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	intemperance	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	immoderate	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	wanton	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	wantonness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	extravagance	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	insolent	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	insolence	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	rudeness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	incivility	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	condescension	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	condescending	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	thoughtless	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	indiscreet	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ungracious	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	misbehaviour	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impropriety	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	rusticity	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	grossness	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	vulgar	11	0.000116772823779
Burke.1790.Reflections on the Revolution of France.txt	improper	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	ungenteel	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	gross	11	0.000116772823779
Burke.1790.Reflections on the Revolution of France.txt	solicitous	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	sobriety	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	overbearing	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	petulant	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	petulance	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	impertinent	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impertinence	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	affront	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impudence	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	impudent	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	affectation	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	unassuming	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	indecent	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	manners	24	0.000254777070064
Burke.1790.Reflections on the Revolution of France.txt	morality	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	moral	34	0.00036093418259
Burke.1790.Reflections on the Revolution of France.txt	immoral	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sin	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sinful	0	0.0
